,stopwords
148,kondisi permasalahan psikologis schizofrenia kondisi disembuhkan penanganan pemberian obat gejala-gejala kondisi schizofrenia dikurangi salah obat terapi pengobatan schizofrenia haloperidol penderita schizofrenia haloperidol pasien sindrom tourette gangguan sistem saraf menyebabkan gerakan berulang suara pasien haloperidol mengontrol pergerakan kesulitan berbicara baca juga: diabaikan gejala skizofrenia!
149,heparin obat mencegah penggumpalan darah akibat penyakit prosedur medis operasi penyakit meningkatkan risiko penggumpalan darah dicegah gumpalan darah menyumbat pembuluh darah berdampak fatal menyumbat pembuluh darah arteri jantung menyebabkan serangan jantung menyumbat pembuluh darah otak menyebabkan stroke pasien menjalani operasi berisiko mengalami penggumpalan darah dibnerikan heparin jsebelum operasi mengurangi risiko penggumpalan darah baca juga: berhubungan seks nyeri pasca operasi cesar penyebabnya!
150,homochlorcyclizine dihydrochloride obat pasien mengalami kondisi alergi
151,hcg salah hormon tubuh berfungsi mengatur kondisi kesuburan hormon hcg tubuh terganggu pengganti memeperbaikinya salah satunya human chorionic gonadotropin hcg hcg terapi kesuburan memperbaiki kesuburan wanita meningkatkan sperma pria hcg anak laki-laki membantu testikel turun skrotum normal baca juga: kondisi hormon memicu 5 gangguan tidur berikut!
152,hctz obat mengatasi retensi cairan tertahan jaringan bengkak pasien menderita gagal jantung kongestif sirosis hati gangguan ginjal bengkak diakibatkan meminum obat steroid estrogen hctz pasien hipertensi baca juga: penyakit ginjal kronis kuras dana bpjs
153,hydrocortisone obat mengatasi kondisi alergi gangguan kulit kolitis ulseratif peradangan kronis usus kolon rektum artritis peradangan sendi lupus psoriasis peradangan kronis akibat penyakit autoimun gangguan pernapasan baca juga: kenali kendalikan alergi susu sapi anak
154,geng sehat kulit cerah memiliki tampilan kulit sehat cerah hydroquinone asalahsalah stu obat pencerah kulit penghilang noda hitam wajah melasma hydroquinone topikal kulit mencerahkan area kulit gelap bintik-bintik kulit age spot bintik bercak datar warna keabu-abuan kecoklatan kehitaman kulit melasma kerusakan kulit akibat matahari chloasma penggelapan kulit akibat perubahan hormon baca juga: penyebab melasma noda hitam wajah hamil
155,hyoscine mengurangi kram otot perut usus kandung kemih obat mengurangi gejala irritable bowel syndrome ibs penyakit pencernaan memengaruhi kerja usus baca juga: kram perut hamil berbahaya
156,terkesan sepele pencernaan mengganggu aktivitas ya lambung tertahankan dibantu diredakan obat salah satunya hyoscyamine obat mengobati gangguan usus lambung tukak luka lambung sindrom iritasi usus obat mengontrol kram otot kandung kemih ginjal saluran cerna mengurangi produksi asam lambungdalam pasien penderita penyakit parkinson hyocyamine mengurangi gemetar kaku otot
157,geng sehat mendengar ya obat ibuprofen ya obat ibuprofen obat mengurangi gejala demam mengobati nyeri inflamasi disebabkan kondisi sakit kepala sakit gigi nyeri punggung artritis peradangan sendi kram haid luka minor baca juga: berhubungan seks nyeri pasca operasi cesar penyebabnya!
158,iloprost obat mengobati penyakit pulmonary arterial hypertension hipertensi paru tekanan darah pembuluh darah arteri jantung paru-paru penyakit hipertensi paru hipertensi paru berbeda hipertensi hipertensi bersifat sistemik pembuluh darah tubuh hipertensi paru pembuluh darah mengalirkan darah jantung paru pembuluh darah jantung paru penyakit hipertensi berdampak fatal sulit disembuhkan baca juga: pneumonia mematikan cegah berikut!
159,imipramine obat mengatasi gangguan depresi mencegah anak-anak mengompol gejala
160,ditemukan obat-obatan antivirus poten infeksi hiv dikendalikan penderita hiv hidup normal virus terdeteksi berkat obat antiteroviral arv salah jenis obat menurunkan virus hiv penderita indinavir indinavir mengurangi penyebaran infeksi virus hiv sel-sel tubuh kekebalan imunitas tubuh sasaran virus dipertahankan fungsinya baca juga: stigma negatif sebabkan orang enggan lakukan tes hivaids
161,indomethacin obat mengobati nyeri penyakit-penyakit peradangan sendi osteoartritis radang sendi sendi lutut skala parah meredakan nyeri reumatoid artritis reumatoid artritis penyakit autoimun mengakibatkan peradangan persendian penyakit diobati inomethacin gout asam urat penyakit ditandai pembengkakan sendi akibat kadar asam urat berlebih tubuh ankylosing spondylitis radang sendi tulang punggung punggung nyeri kaku indometachin mengobati nyeri bahu disebabkan bursitis peradangan bursa kantong berisi cairan pelumas terletak sendi tendonitis peradangan tendon baca juga: nyeri sendi berlanjut pasca chikungunya penyebabnya
162,insulin salah jenis hormon alami tubuh diproduksi kelenjar pankreas hormon insulin bertugas memasukkan glukosa sel diubah energi disebarkan tubuh penderita diabetes diabetes tipe 1 tipe 2 fungsi kerja hormon insulin terganggu gula masuk sel insulin sel peka insulin kadar gula darah diabetes kadar gula darah berbahaya tubuh dibutuhkan obat-obatan membantu menurunkan kadar gula darah menjaga kadar gula normal insulin salah satunya insulin pengobatan satu-satunya diabetes tipe 1 pankreas meproduksi insulin dibutuhkan insulin pengganti penderita diabetes tipe 2 insulin kadar insulin rendah obat antidiabetes merangsang pankreas memproduksi insulin insulin wanita hamil menderita diabetes diabetes gestasional baca juga: resistensi insulin diabetes melitus tipe 2
163,ipratropium bromide obat mengatasi ppok penyakit paru obstruktif kronis copd asma rhinorhoea disertai rhinitis
164,irbesartan mengobati hipertensi tekanan darah irbesartan mengatasi gangguan ginjal disebabkan diabetes tipe 2 baca juga: manfaat puasa penderita hipertensi
165,isoniazid mengobati mencegah penyakit tuberkulosis tb isoniazid dikombinasikan obat tb mengobati tb aktif tuberkulosis kebal obat pengobatan tunggal tb baca juga: lakukan kuman penyebab tbc pergi!
166,isosorbid dinitrate mengobati mencegah nyeri dada angina gejala serangan jantung tablet isosorbide dinitrate sublingual mengobati seragan angina iisosorbide dinitrate tablet tablet lepas lambat mencegah serangan angina mengobati serangan angina baca juga: serangan jantung henti jantung beda
167,ayo ngaku suka sebel jerawat bermunculan nih! ya keberadaan jerawat orang kesal munculnya jerawat penampilan maksimalnah namanya jerawat khawatir gengs coba obat isotretinoin mengatasinya isotretinoin mengatasi jerawat parah mempan pengobatan jerawat antibiotik baca juga: ikuti 5 menghilangkan jerawat punggung yuk!
168,isoxsuorine hcl obat mengatasi gejala gangguan pembuluh darah daerah kepala aliran darah otak lancar arteriosclerosis penebalan pembuluh darah arteri kondisi menyebabkan aliran darah pembuluh vena arteri
169,tekanan darah hipertensi kondisi tekanan darah batas normal 14090 mmhg kondisi disebabkan gaya hidup buruk merokok pola makan buruk hipertensi ditangani menimbulkan komplikasi kesehatan serius penyakit jantung koroner stroke gagal ginjal penyakit diabetes hipertensi kondisi disembuhkan perbaikan pola hidup pengobatan tekanan darah terkontrol risiko komplikasi dikurangi salah jenis obat pengobatan pasien hipertensi darah isradipine baca juga: kebiasaan pencetus darah kerap diabaikan
170,itraconazole mengobati infeksi jamur menyerang tubuh paru-paru mulut tenggorokan kuku jari kaki kuku jari tangan baca juga: makan jamur penderita diabetes
171,ivermectin mengobati infeksi tubuh disebabkan parasit baca juga: kenali neonatorum sepsis infeksi bayi lahir
172,kanamycin jenis obat mengobati infeksi bakteri baca juga: hati-hati bakteri gusi merembet jantung!
173,diare kondisi menyebabkan buang air terus-menerus diare dialami orang dewasa anak-anak diare ditangani pertanda gangguan serius inflammatory bowel disease penyakit radang usus irritable bowel syndrome ibs sindrom iritasi usus dibutuhkan jenis obat kaolin mengatasi diare baca juga: anggap enteng diare!
174,ketamine obat pasien sadar operasi mencegah timbulnya sakit nyaman prosedur medis baca juga: waspada sakit hati: gejala jenis diagnosisnya
175,ketoconazole obat antijamur penggunaannya ketoconazole mengobati infeksi jamur jari kuku tangan kaki obat obat antijamur baca juga: makan jamur penderita diabetes
176,nyeri timbul akibat radang sendi menstruasi mengganggu aktivitas ya mengatasi kondisi mengonsumsi obat ketoprofen ketoprofen mengobati nyeri peradangan disebabkan arthritis peradangan sendi ketoprofen mengobati nyeri ringan nyeri menstruasi baca juga: nyeri sendi berlanjut pasca chikungunya penyebabnya
177,nyeri timbul operasi menimbulkan nyaman dibutuhkan obat ketrolac mengurangi nyeri timbul obat ketorolac meredakan nyeri berat baca juga: berhubungan seks nyeri pasca operasi cesar penyebabnya!
178,orang mengalami alergi pergantian musim kondisi istilah alergi musiman alergi musiman bersin-bersin kulit gatal mata bengkak salah jenis obat mengatasi kondisi alergi musiman ketotifen ketotifen mengobati alergi selaput mata baca juga: kenali kendalikan alergi susu sapi anak
179,kloramfenikol obat mengobati infeksi disebabkan bakteri
180,glutamine mengobati kekurangan glutamine glutamine suplemen gizi mengandung asam amino l-alanyl l-glutamine nutrisi tambahan membutuhkan tambahan glutamine akibat kecelakaan penyakitglutamine dikombinasikan human growth hormone mengobati short bowel syndrome kondisi nutrisi sempurna diserap tubuh malabsorpsi akibat penyakit usus parah operasi pengangkatan usus baca juga: 3 jenis suplemen dikonsumsi hamil
181,kondisi kulit halus terawat idaman orang faktor kulit kering gatal mengalaminya cobalah lactic acid asam laktat mengobatinya gengs! baca juga: menyentuh kulit bayi anak-anak
182,lactobacillus acidophilus obat mencegah infeksi ragi vagina mulut diare disebabkan penggunaan antibiotik infeksi saluran kemih
183,lactobacillus acidophilus produk mencegah infeksi jamur ragi vagina infeksi ragi mulut diare disebabkan penggunaan antibiotik infeksi saluran kencing
184,lactulose mengobati konstipasi kronis lactulose terkadang mengobati mencegah kondisi gangguan otak akibat gagal hati memicu timbulnya kebingungan gangguan berpikir perubahan perilaku gemetar terganggu gangguan tidur kehilangan koordinasi kehilangan kesadaran baca juga: hindari 7 makanan mengalami sembelit
185,kulit kering gatal menimbulkan nyaman merusak penampilan ya gengs kondisi alami cobalah lanolin mengobatinya lanolin obat mengatasi mencegah kulit kering gatal iritasi kulit disebabkan kondisi ruam popok kulit terbakar terapi radiasi lanolin mengobati puting lecet terkelupas akibat menyusui baca juga: kulit gatal tanda komplikasi diabetes
186,lansoprazole mengobati mencegah ulkus luka lambung usus erosif esofagitis kerusakan kerongkongan akibat asam lambung kondisi melibatkan asam lambung baca juga: hati-hati keluhan lambung sakit maag sumber:
187,levodopa mengobati penyakit parkinson penyakit saraf memengaruhi gerakan otot akibat kurangnya kadar dopamin tubuh gejala penyakit parkinson tubuh gemetar gerakan tubuh kaku baca juga: kenali gejala penyakit parkinson sumber:
188,levofloxacin mengobati infeksi bakteri kulit sinus ginjal kandung kemih prostat levofloxacin mengobati infeksi bakteri menyebabkan bronkitis radang paru-paru mengobati orang-orang terkena anthrax penyakit kulit akibat bakteri bacillus anthracis baca juga: hati-hati bakteri gusi merembet jantung! sumber:
189,kehamilan momen ditunggu pasangan faktor orang obat levonorgestrel mencegah kehamilan levonorgestrel obat mencegah kehamilan berhubungan seks kondom kegagalan usaha pencegahan kondom pecah melewatkan 2 pengonsumsian pil kb baca juga: 5 fakta anemia kehamilan sumber:
190,lidocaine obat anestesi lokal mengurangi sakit ketidaknyamanan akibat prosedur medis melukai jaringan operasi tusukan jarum penyisipan kateter tabung pernapasan lidocaine mengobati kelainan irama jantung lidocaine mengurangi sakit persalinan baca juga: benjolan tubuh sakit waspada! sumber:
191,lincomycin mengobati penyakit disebabkan infeksi bakteri lincomycin pasien memiliki alergi penisilin baca juga: virus senjata lawan bakteri kebal antibiotik sumber:
192,hipertensi tekanan darah kondisi tekanan darah batas normal 1090 mmhg kondisi tekanan darah dialami orang dewasa remaja anak-anak salah pemicu timbulnya kondisi gaya hidup sehat kebiasaan merokok pola makan buruk hipertensi kondisi disembuhkan perbaikan gaya hidup perawatan tekanan darah dikontrol risiko komplikasi dikurangi salah obat perawatan pasien hipertensi lisinopril lisinopril mengobati tekanan darah hipertensi orang dewasa anak-anak berusia minimal 6 lisinopril mengobati gagal jantung orang dewasa pengobatan mengalami serangan jantung baca juga: cegah stroke cek tekanan darah rutin rumah sumber:
193,lithium mengobati penyakit bipolar perubahan suasana hati drastis mania depresi gejala timbul hiperaktif bicara terburu-buru gangguan tidur agresif emosi stabil baca juga: deretan selebriti hollywood mengalami bipolar disorder! sumber:
194,diare kesehatan disepelakan kondisi diare ditangani mengalami dehidrasi kematian obat loperamide mengobati diare mengobati diare loperamide mengurangi feses ilestomy lubang perut operasi baca juga: manfaat zinc mengatasi diare anak sumber:
195,loratadine obat mengurangi gejala bersin-bersin hidung berair mata berair gatal-gatal ruam kulit gatal gejala pilek alergi loratadine mengobati gatal-gatal kulit gatal orang reaksi kulit kronis baca juga: anak kembar identik alergi sumber:
196,mengalami gangguan kecemasan mengganggu pasalnya orang-orang mengalami kondisi merasakan kecemasan intens parahnya kecemasan tejadi frekuensi heran kondisi mengganggu aktivitas mengatasi kondisi pengidap gangguan kecemasan disarankan mengonsumsi obat lorazepam mengobati gangguan kecemasan baca juga: khawatir cemas ya membedakannya! sumber:
197,hipertensi tekanan darah kesehatan hipertensi julukan 'silent killer' penyakit menyebabkan gejala jangka penyakit mengakibatkan komplikasi mengancam nyawa layaknya penyakit jantung obat losartan mengobati kondisi tekanan darah hipertensiselain losartan melindungi kondisi ginjal penderita diabetes tipe 2 baca juga: kebiasaan pencetus darah kerap diabaikan sumber:
198,lovastatin obat penurun kolesterol kadar kolesterol kolesterol jahat ldl meningkatkan risiko stroke serangan jantung komplikasi jantung orang memiliki risiko hiperkolesterolemia pasien diabetes pasien penyakit jantung koroner kegemukan memiliki riwayat hiperkolesterolemia keluarga baca juga: 5 jenis obat penurun kolesterol terbaik
199,lutein vitamin mata mencegah penyakit mata degenerasi makula penyakit mata menyebabkan kehilangan penglihatan katarak retinitis pigmentosa penurunan fungsi retina mempengaruhi penglihatan malam penglihatan tepi menyebabkan kebutaan baca juga: buta mel b 'spice girl' akui alami iritis parah sumber:
200,lysine pengobatan alternatif kulit melepuh mulut daerah mulut akibat penyakit herpes simpleks baca juga: jenis herpes sumber:
201,magnesium hidroksida obat pencahar laksatif mengobati konstipasi sulit buang air antasida menghilangkan gangguan pencernaan asam lambung mulas baca juga: manfaat zinc mengatasi diare anak sumber:
202,manitol meningkatkan produksi urine penderita gagal ginjal peningkatan produksi urine membantu ginjal istirahat meningkatkan kecepatan pembuangan racun tubuh baca juga: mengenal radang ginjal gejala penyebabnya sumber:
203,mebhydrolin meredakan gejala alergi gatal ruam kulit bersin-bersin bintik-bintik merah kulit hidung berair baca juga: kenali kendalikan alergi susu sapi anak sumber:
204,meloxicam mengobati sakit peradangan disebabkan rheumatoid arthritis peradangan sendi osteoarthritis pengapuran sendi orang dewasa meloxicam mengobati juvenile rheumatoid arthritis anak-anak berusia minimal 2 baca juga: nyeri sendi berlanjut pasca chikungunya penyebabnya sumber:
205,salah permasalahan usia demensia demensia kondisi mengalami penurunan kemampuan memahami memcahkan gejala timbul mengalami demensia sulit menurunnya kemampuan berpikir sulit memahami bahasa demensia dipulihkan pengobatan mengurangi gejala timbul demensia salah jenis obat mengatasi kondisi demensia akibat penyakit alzheimer memantine baca juga: demensia alzheimer kerap diabetes tipe 3 sumber:
206,meropenem mengobati infeksi berat kulit perut meropenem mengobati meningitis akibat bakteri infeksi otak saraf tulang baca juga: kenali neonatorum sepsis infeksi bayi lahir sumber:
207,metamfetamin mengobati gangguan hiperaktif adhd mengobati obesitas antiobesitas meningkatkan tekanan darah antihipotensi baca juga: adhd dialami orang dewasa sumber:
208,metampicillin mengobati infeksi bakteri rentan dialami manusia baca juga: hati-hati bakteri gusi merembet jantung! sumber:
209,diabetes tipe 2 jenis diabetes kondisi diabetes tipe 2 ditangani menimbulkan komplikasi kesehatan serius serangan jantung stroke kondisi disembuhkan perawatan pengobatan mengurangi risiko komplikasi diabetes salah jenis obat pasien diabetes tipe 2 metmorfin baca juga: pahami risiko terdiagnosis diabetes usia 40 tahun! sumber:
210,methadone menurunkan gejala orang memiliki kecanduan heroin obat-obatan narkotika efek high perasaan bahagia methadone rehabilitasi pecandu narkoba bacaj uga: pengguna narkotika flakka seram zombie! sumber:
211,methisoprinol mengobati infeksi mukokutan berkaitan selaput lendir kulit akibat infeksi virus herpes mengobati kutil kelamin baca juga: kutil kelamin berobat sumber:
212,metotrexate obat tambahan obat meredakan gejala methotrexate obat mengganggu pertumbuhan sel-sel tubuh sel-sel berkembang biak cepat sel kanker sumsum tulang kulit obat mengobati jenis keganasan kanker payudara kulit kepala leher paru-paru methotrexate mengobati psoriasis berat peradangan kulit rheumatoid arthritis peradangan sendi baca juga: 7 virus menyebabkan kanker sumber:
213,methylcobolamin mecobalamin salah bentuk kimia vitamin b12 memiliki fungsi vitamin b12 berperan pembentukan sel darah merah metabolisme sel tubuh saraf methycobolamin mengobati kerusakan saraf perifer saraf tepi menyebabkan keluhan lemah baal nyeri tangan kaki neuropati perifer baca juga: nutrisi multivitamin dibutuhkan hamil: micronutrient sumber:
214,methylprednisolone obat golongan steroid mengobati kondisi peradangan radang sendi lupus psoriasis peradangan kulit kolitis ulseratif peradangan usus rektum kelainan alergi gangguan kelenjar endokrin kondisi mempengaruhi kulit mata paru-paru perut sistem saraf sel darah baca juga: 5 mengobati gusi bengkak rumah sumber:
215,metil salisilat obat menghilangkan nyeri otot sendi obat cocok mengurangi nyeri disebabkan ketegangan keseleo radang sendi memar sakit punggung baca juga: penyebab kram otot kaki dialami ginting sumber:
216,metildopa obat mengobati hipertensi tekanan darah mengurangi zat kimia darah pembuluh darah arteri vena rileks jantung lambat mudah baca juga: manfaat puasa penderita hipertensi sumber:
217,metoclopramide mengobati kembalinya isi lambung kerongkongan refluks gastrofageal mengobati pengosongan lambung tertunda akibat pergerakan otot lambung lemah gastroparesis metoclopramide mengobati perut usus panas perut asam lambung maag kunjung sembuh metoclopramide maag muncul makan siang obat mencegah mual akibat kemoterapi radiasi pasien kanker baca juga: sakit maag mengandalkan obat warung sumber:
218,metoprolol mengobati angina nyeri dada akibat kurangnya darah oksigen jantung hipertensi tekanan darah obat mencegah mengobati serangan jantung nih gengs baca juga: penyebab jantung berdebar ketahui sumber:
219,metronidazole tergolong salah antibiotik obat mengobati infeksi bakteri vagina lambung hati kulit persendian otak saluran pernapasan antibiotik kombinasi obat antiulcer mengobati jenis penyakit lambung baca juga: cacar monyet penyakit-penyakit ditularkan hewan manusia! sumber:
220,miconazole mengobati infeksi akibat fungi jamur kulit baca juga: makan jamur penderita diabetes sumber:
221,midazolam pasien menjalani operasi perawatan gigi prosedur medis salah obat golongan benzodiazepine tubuh pikiran rileks menimbulkan kantuk sadarkan baca juga: berhubungan seks nyeri pasca operasi cesar penyebabnya! sumber:
222,minoxidil mengobati hipertensi menyebabkan kerusakan organ vital obat mengatasi rambut rontok baca juga: kebiasaan pencetus darah kerap diabaikan sumber:
223,misoprostol mencegah tukak lambung usus pengobatan aspirin nsaid baca juga: hati-hati keluhan lambung sakit maag sumber:
224,modafinil mengobati kantuk berlebih kantuk berlebih disebabkan gangguan tidur pernapasan terhenti tidur sleep apnea gangguan sistem saraf memengaruhi kendali aktivitas tidur narkolepsi mudah mengantuk siang kesulitan tidur malam aktif malam shift work sleep disorder baca juga: kasur empuk kesehatan tulang punggung pinggul sumber:
225,montelukast mengobati alergi bertahun-tahun orang dewasa anak-anak berusia 6 obat mengobati gejala alergi musiman orang dewasa anak-anak berusia minimal 2 montelukast mencegah penyempitan saluran napas paru-paru diakibatkan olahraga orang dewasa remaja berusia minimal 15 baca juga: 3 mengatasi alergi obat
226,morfin obat golongan narkotika opium obat mengurangi sakit berat tubuh morfin menyebabkan ketergantungan baca juga: pengguna narkotika flakka seram zombie! sumber:
227,moxifloxacin mengobati jenis infeksi bakteri jenis infeksi bakteri infeksi kulit sinus paru-paru perut
228,mupirocin antibiotik mengobati mencegah infeksi akibat bakteri infeksi virus disembuhkan antibiotik ya gengs! baca juga: waspadai 7 efek samping antibiotik ini! sumber:
229,naltrexone mencegah kambuhnya memiliki ketergantungan obat-obatan opioid berhenti menggunakannya naltrexone mengobati alkoholisme mengurangi minum alkohol
230,naproxen obat antiinflamasi antiradang organ sendi tulang muskuloskeletal obat mengobati inflamasi ditandai nyeri bengkak peradangan sendi artritis peradangan tulang ankylosing spondylitis peradangan tenson tendinitis peradangan bursa bursitis asam urat kram akibat menstruasi baca juga: serangan jantung 10 penyebab nyeri dada sebelah kanan sumber:
231,nateglinide obat diabetes mengontrol kadar gula darah dokter menganjurkan penderita diabetes menjaga pola makan berolahraga obat obat khusus mengobati diabetes tipe 2 baca juga: pahami risiko terdiagnosis diabetes usia 40 tahun!
232,natrium bikarbonat mengobati gangguan saluran pencernaan menimbulkan nyeri perut indigestion obat mengurangi nyaman nyeri dada disebabkan asam lambung kerongkongan heart burn baca juga: manfaat zinc mengatasi diare anak sumber:
233,nebivolol obat antihipertensi tekanan darah hipertensi mengurangi risiko stroke gagal jantung
234,nedocromil mencegah asma bronkospasma mengalami serangan asma bronkopspasma mengonsumsi obat
235,nefazodone mengobati depresi gangguan depresi mayor nefazodone membantu mengembalikan keseimbangan bahan kimia otak
236,neomycin antibiotik golongan aminoglikosida mengobati mencegah infeksi bakteri neomycin kerap menurunkan risiko infeksi usus operasi neomycin menurunkan gejala koma hepatikum kemunduran fungsi otak akibat zat-zat racun darah normal dibuang hati baca juga: kenali neonatorum sepsis infeksi bayi lahir sumber:
237,neostigmine mengobati penyakit myasthenia gravis myasthenia gravis penyakit autoimun kronis transmisi neuromuskular menghasilkan kelemahan otot menyerang otot tubuh otot terserang otot mengontrol gerakan mata kelopak mata mengunyah menelan batuk ekspresi wajah
238,nepafenac obat mata obat berfungsi menghilangkan sakit inflamasi pembengkakan dilakukannya operasi mata
239,nesiritide mengobati gagal jantung dekompensasi akut disertai gangguan pernapasan nesiritide meningkatkan fungsi pernapasan pasien gagal jantung
240,nicardipine mengobati hipertensi tekanan darah angina nyeri dada akibat kurangnya darah oksigen jantung sumber:
241,nicorandil mengobati nyeri dada akibat kurangnya darah oksigen jantung angina pektoris
242,nicotinamide niacinamide mencegah defisiensi niasin vitamin b3 baca juga: nutrisi multivitamin dibutuhkan hamil: micronutrient sumber:
243,memiliki tekanan darah asing obat nifedipine obat antihipertensi tekanan darah membantu menurunkan tekanan darah nifedipine nyeri dada akibat kurangnya darah oksigen jantung angina baca juga: kebiasaan pencetus darah kerap diabaikan sumber:
244,nifuroxazide golongan obat antibiotik antibiotik mengobati kolitis peradangan usus diare infeksi bakteri baca juga: waspadai 7 efek samping antibiotik ini! sumber:
245,nilotinib mengobati kanker darah leukemia jenis cml philadelphia chromosome positive chronic myeloid leukemia cml kanker jenis memengaruhi darah sumsum tulang sumsum tulang orang mengidap jenis kanker menghasilkan sel darah putih sel matang kondisi rusak sel darah putih abnormal merusak sel sehat normal
246,nimorazole mengobati infeksi akibat bakteri protozoa trichomoniasis trichomoniasis adalahsalah infeksi menular seksual akibat infeksi protozoa parasit trichomonas vaginalis nimorazole mengobati giardiasis infeksi usus disebabkan giardia lamblia ulcerative gingivitis peradangan gusi
247,nimustine mengobati malignant glioma sejenis tumor otak ganas
248,nisoldipine obat antihipertensi obta tekanan darah angina pektoris nyeri dada akibat kurangnya darah oksigen jantung
249,orang mengalami sulit tidur parah permasalahan tidur menimbulkan dampak kesehatan menimbulkan stres mengatasi kondisi obat nitrazepam mengobatinya
250,nitrofurantoin salah obat tergolong antibiotik obat mengobati infeksi saluran kemih baca juga: waspadai 7 efek samping antibiotik ini!
251,nitrogliserin dikenal glyceryl trinitrate mengobati angina nyeri dada akibat kurangnya asupan oksigen darah jantung mengobati gagal jantung nitrogliserin lapisan kulit lubang anus robek luka fisura anal baca juga: kelelahan penyebab langsung kematian mendadak
252,nizatidine mengobati tukak luka lambung usus obat mengobati nyeri dada erosif esofagitis kerusakan kerongkongan akibat gastroesophageal reflux disease gerd kondisi naiknya asam lambung kerongkongan
253,nordazepam mengobati insomnia gangguan kecemasan mengalami kesulitan tidur insomnia kerap kecemasan disarankan dokter obat
254,norepinephrine mengobati tekanan darah rendah hipotensi fatal prosedur medis operasi norepinephrine cpr resusitasi jantung paru
255,norethisterone obat mencegah kehamilan obat mengobati perdarahan menstruasi menorrhagia jaringan rahim rahim endometriosis sindrom pramenstruasi kanker payudara
256,batuk akhir-akhir gengs obat pilihan noscapine kondisi membutuhkan efek antitusif batuk efek berfungsi menekan batuk
257,nystatin mengobati infeksi jamur fungi nystatin mengatasi infeksi jamur candida rongga mulut tenggorokan usus vagina
258,pantoprazole obat mengobati peradangan kerongkongan asam lambung akibat gerd esofagitis korosif obat mengobati sindrom zollinger-ellison sindrom zollinger-ellison kondisi jarang tumor terbentuk pankreas usus duodenum
259,papaverine mengobati kondisi menyebabkan spasme kejang otot polos nyeri dada sirkulasi serangan jantung gangguan perut kantong empedu
260,parasetamol mengobati kondisi sakit kepala nyeri otot radang sendi sakit punggung sakit gigi pilek demam parasetamol mengurangi sakit radang sendi ringan berpengaruh peradangan pembengkakan sendi berat
261,menjalani prosedur operasi obat dokter parecoxib obat mengurangi menghilangkan nyeri operasi
262,paromomycin mengobati infeksi usus obat mengobati gangguan hati
263,pefloxacin antibiotik golongan quinolone obat mengatasi infeksi bakteri
264,salah memiliki tekanan darah gengs iya diresepkan obat dokter penbutolol obat mengobati tekanan darah hipertensi nih
265,penciclovir mengobati kulit melepuh bibir daerah mulut akibat penyakit herpes simpleks obat orang dewasa anak-anak berusia 12
266,perindopril mengobati tekanan darah hipertensi obat mencegah serangan jantung akibat penyakit arteri koroner
267,permethrin mengobati infeksi kulit kepala kutu kudis disebabkan tungau menempel kulit kutu hidup kulit kepala
268,phenobarbital mengobati mencegah kejang obat jangka pendek obat penenang membantu tubuh rileks
269,phenylbutazone obat peresa nyeri painkiller obat mengurangi nyeri peradangan disebabkan penyakit ankylosing spondylitis penyakit kronis menyebabkan tulang mengalami peradanganselain phenylbutazone mengobati nyeri gangguan rematik rematik pegal linu ya gengs! rematik penyakit autoimun menyerang persendian ditandai sendi meradang nyeri kaku jangka menyebabkan deformitas kecacatan bentuk sendi asam urat gout ditandai pembengkakan sendi akibat kadar asam urat berlebih tubuh diobati phenylbutazone nyerinya bersifat akut
270,phenylephrine mengobati hidung tersumbat sinus obat penderita wasir miadriasis pelebaran pupil mata
271,phenylpropanolamine mengobati hidung tersumbat
272,phenytoin obat mengontrol mengendalikan kejang
273,pilocarpine mengobati kondisi tekanan bola mata dikenal glaukoma obat mengobati sindrom sjögren sindrom penyakit disebabkan peradangan kelenjar air mata air liur zat arthritis paru-paru ginjal pembuluh darah saraf otot terkena
274,penderita diabetes mengidap diabetes tipe 2 obat dokter pioglitazone obat mengendalikan gula darah penderita diabetes tipe 2 diabetes tipe 1
275,piracetam obat meningkatkan kinerja kognitif gangguan serebrokortikal obat mengobati mioklonus kortikal gerakan otot disadari
276,piroxicam obat mengobati nyeri pembengkakan penyakit rheumatoid arthritis peradangan sendi obat terapi osteosarcoma kanker tulang lho gengs
277,policresulen obat terapi servisitis radang serviks leher rahim vaginitis peradangan vagina obat menghentikan pendarahan hemostasis biopsi pengangkatan polip serviks
278,kalium salah mineral dibutuhkan menjaga keseimbangan cairan tubuh mengendalikan tekanan darah kekurangan kalium kondisi hipokalemia menyebabkan mengalami gejala ringan serius kram otot kesemutan palpitasi jantung detak jantung normal kondisi kekurangan kalium ditangani salah penanganan pemberian obat potassium acetate potassium acetate jenis obat mengobati mencegah kadar kalium rendah darah baca juga: multivitamin mineral bermanfaat janin
279,povidone iodine obat mengobati infeksi mulut tenggorokan vagina obat obat kumur
280,pramipexole obat mengobati gejala penyakit parkinson kekakuan otot gemetaran keram otot pengedalian otot buruk obat mengobati restless legs syndrome kondisi neurologis menyebabkan orang memiliki terkontrol menggerakkan kaki diakibatikan nyaman kaki baca juga: tremor penyakit parkinson
281,praziquantel obat mengobati infeksi akibat cacing schistosoma cacing masuk tubuh kulit berkontak langung air terkontaminasi
282,prednisolone mengobati kondisi inflamasi radang bengkak arthritis peradangan sendi lupus psoriasis peradangan kulit ulceratif kolitis radang usus alergi gangguan kelenjar endocrine kondisi menyerang kulit mata paru-paru perut sisem saraf sel darah
